date,new_certifications,cumulative_total
2016-10-01,1,1
2016-10-04,1,2
2016-10-06,1,3
2016-10-08,6,9
2016-10-10,1,10
2016-10-12,1,11
2016-10-13,1,12
2016-10-16,2,14
2016-10-19,1,15
2016-10-20,1,16
2016-10-24,10,26
2016-10-28,1,27
2016-10-30,2,29
2016-10-31,30,59
2016-11-01,3,62
2016-11-02,1,63
2016-11-07,2,65
2016-11-08,2,67
2016-11-09,1,68
2016-11-10,1,69
2016-11-16,2,71
2016-11-19,1,72
2016-11-28,1,73
2016-12-07,3,76
2016-12-10,2,78
2016-12-15,1,79
2016-12-19,1,80
2016-12-21,1,81
2016-12-22,1,82
2016-12-27,1,83
2016-12-28,2,85
2017-01-07,1,86
2017-01-13,1,87
2017-01-17,1,88
2017-01-27,1,89
2017-02-06,1,90
2017-02-22,1,91
2017-03-13,1,92
2017-03-18,1,93
2017-04-07,1,94
2017-04-08,1,95
2017-06-27,1,96
2017-07-13,2,98
2017-07-14,1,99
2017-07-17,1,100
2017-07-23,1,101
2017-07-25,1,102
2017-08-03,1,103
2017-08-04,1,104
2017-08-06,1,105
2017-08-07,1,106
2017-08-15,1,107
2017-08-17,1,108
2017-08-21,1,109
2017-08-30,2,111
2017-09-01,1,112
2017-09-14,1,113
2017-09-15,3,116
2017-09-18,1,117
2017-09-26,1,118
2017-10-06,1,119
2017-10-12,1,120
2017-10-13,4,124
2017-10-17,1,125
2017-10-21,1,126
2017-11-18,1,127
2017-11-19,1,128
2017-11-23,1,129
2017-11-30,1,130
2017-12-12,1,131
2017-12-19,1,132
2018-01-03,1,133
2018-01-08,1,134
2018-01-10,1,135
2018-01-13,1,136
2018-01-16,1,137
2018-01-17,1,138
2018-01-21,1,139
2018-01-24,1,140
2018-01-25,11,151
2018-01-29,1,152
2018-01-30,1,153
2018-01-31,8,161
2018-02-03,1,162
2018-02-22,1,163
2018-03-06,2,165
2018-03-07,3,168
2018-03-08,1,169
2018-03-19,1,170
2018-03-25,2,172
2018-04-06,3,175
2018-04-15,1,176
2018-04-17,1,177
2018-04-30,2,179
2018-05-07,1,180
2018-05-10,1,181
2018-05-13,1,182
2018-05-14,1,183
2018-05-18,1,184
2018-05-27,1,185
2018-06-03,2,187
2018-06-13,1,188
2018-06-19,1,189
2018-06-20,2,191
2018-06-21,1,192
2018-06-30,1,193
2018-07-06,1,194
2018-07-09,2,196
2018-07-17,1,197
2018-07-26,2,199
2018-08-09,1,200
2018-08-13,1,201
2018-08-16,1,202
2018-08-17,1,203
2018-09-01,4,207
2018-09-02,1,208
2018-09-03,2,210
2018-09-11,3,213
2018-09-15,4,217
2018-09-17,2,219
2018-09-21,1,220
2018-09-22,1,221
2018-09-30,1,222
2018-10-07,1,223
2018-10-27,1,224
2018-11-01,5,229
2018-11-11,1,230
2018-11-18,2,232
2018-12-02,1,233
2018-12-27,1,234
2019-01-02,2,236
2019-01-12,2,238
2019-01-13,1,239
2019-01-31,1,240
2019-03-03,1,241
2019-03-16,1,242
2019-03-23,1,243
2019-03-24,1,244
2019-03-25,1,245
2019-04-07,3,248
2019-04-18,1,249
2019-04-21,1,250
2019-05-01,1,251
2019-05-14,1,252
2019-05-15,1,253
2019-05-23,1,254
2019-06-04,2,256
2019-06-15,1,257
2019-06-21,4,261
2019-06-24,5,266
2019-06-30,7,273
2019-07-07,11,284
2019-07-10,1,285
2019-07-14,11,296
2019-07-16,1,297
2019-07-22,5,302
2019-07-23,2,304
2019-07-30,1,305
2019-08-09,4,309
2019-08-25,1,310
2019-09-04,1,311
2019-09-06,2,313
2019-09-15,2,315
2019-09-21,1,316
2019-09-23,1,317
2019-09-27,1,318
2019-10-09,1,319
2019-10-12,2,321
2019-10-18,2,323
2019-10-19,1,324
2019-10-24,1,325
2019-10-31,5,330
2019-11-08,3,333
2019-11-12,2,335
2019-11-22,3,338
2019-12-11,1,339
2019-12-15,20,359
2019-12-20,6,365
2019-12-23,1,366
2019-12-24,1,367
2019-12-29,1,368
2020-01-03,13,381
2020-01-04,1,382
2020-01-12,1,383
2020-01-13,1,384
2020-01-26,4,388
2020-01-27,3,391
2020-01-30,1,392
2020-02-12,1,393
2020-02-16,13,406
2020-02-25,6,412
2020-02-26,1,413
2020-03-04,1,414
2020-03-06,1,415
2020-03-11,2,417
2020-03-17,2,419
2020-03-18,1,420
2020-04-02,1,421
2020-04-03,9,430
2020-04-05,5,435
2020-04-06,5,440
2020-04-07,6,446
2020-04-08,1,447
2020-04-09,6,453
2020-04-10,8,461
2020-04-13,5,466
2020-04-15,4,470
2020-04-16,3,473
2020-04-17,1,474
2020-04-20,9,483
2020-04-21,15,498
2020-04-22,10,508
2020-04-24,19,527
2020-04-27,2,529
2020-04-28,23,552
2020-04-29,25,577
2020-04-30,105,682
2020-05-03,8,690
2020-05-04,17,707
2020-05-05,24,731
2020-05-07,12,743
2020-05-08,20,763
2020-05-09,55,818
2020-05-10,7,825
2020-05-11,8,833
2020-05-12,5,838
2020-05-16,16,854
2020-05-19,10,864
2020-05-20,13,877
2020-05-23,16,893
2020-05-26,1,894
2020-05-28,21,915
2020-06-01,1,916
2020-06-05,6,922
2020-06-09,4,926
2020-06-19,3,929
2020-06-23,1,930
2020-06-29,1,931
2020-07-01,3,934
2020-07-07,1,935
2020-07-13,3,938
2020-07-16,5,943
2020-07-20,1,944
2020-07-28,3,947
2020-08-06,2,949
2020-08-07,1,950
2020-08-14,4,954
2020-08-20,3,957
2020-08-27,4,961
2020-09-01,1,962
2020-09-12,27,989
2020-09-19,12,1001
2020-09-25,3,1004
2020-10-02,8,1012
2020-10-11,3,1015
2020-10-12,2,1017
2020-10-13,1,1018
2020-10-16,2,1020
2020-10-22,5,1025
2020-10-23,1,1026
2020-10-29,5,1031
2020-10-30,2,1033
2020-11-06,5,1038
2020-11-13,7,1045
2020-11-17,3,1048
2020-11-19,21,1069
2020-11-21,8,1077
2020-11-23,7,1084
2020-11-24,6,1090
2020-11-30,17,1107
2020-12-02,12,1119
2020-12-03,6,1125
2020-12-04,17,1142
2020-12-05,6,1148
2020-12-07,24,1172
2020-12-08,25,1197
2020-12-11,3,1200
2020-12-14,35,1235
2020-12-16,18,1253
2020-12-17,49,1302
2020-12-18,15,1317
2021-01-04,4,1321
2021-01-05,1,1322
2021-01-07,2,1324
2021-01-08,65,1389
2021-01-19,58,1447
2021-01-20,2,1449
2021-01-22,2,1451
2021-01-27,5,1456
2021-02-04,3,1459
2021-02-09,1,1460
2021-02-11,1,1461
2021-02-17,3,1464
2021-03-01,12,1476
2021-03-02,25,1501
2021-03-16,1,1502
2021-03-18,5,1507
2021-03-24,5,1512
2021-03-25,1,1513
2021-03-26,2,1515
2021-03-29,4,1519
2021-04-02,4,1523
2021-04-13,3,1526
2021-04-15,4,1530
2021-04-16,3,1533
2021-04-19,4,1537
2021-04-21,1,1538
2021-04-22,2,1540
2021-04-26,3,1543
2021-04-27,1,1544
2021-05-03,1,1545
2021-05-12,4,1549
2021-05-13,3,1552
2021-05-24,1,1553
2021-05-26,2,1555
2021-05-27,3,1558
2021-06-03,5,1563
2021-06-04,1,1564
2021-06-07,3,1567
2021-06-09,1,1568
2021-06-11,1,1569
2021-06-17,2,1571
2021-06-18,1,1572
2021-06-30,3,1575
2021-07-02,1,1576
2021-07-15,5,1581
2021-07-23,5,1586
2021-08-05,2,1588
2021-08-10,2,1590
2021-08-12,5,1595
2021-08-19,37,1632
2021-08-23,2,1634
2021-08-27,7,1641
2021-08-30,2,1643
2021-09-09,2,1645
2021-09-16,3,1648
2021-09-22,1,1649
2021-09-23,1,1650
2021-09-29,6,1656
2021-09-30,3,1659
2021-10-07,11,1670
2021-10-08,1,1671
2021-10-13,1,1672
2021-10-14,2,1674
2021-10-15,1,1675
2021-10-22,2,1677
2021-10-29,3,1680
2021-11-03,2,1682
2021-11-12,4,1686
2021-11-30,5,1691
2021-12-01,2,1693
2021-12-03,4,1697
2021-12-08,3,1700
2021-12-10,2,1702
2021-12-22,5,1707
2022-01-09,5,1712
2022-01-14,6,1718
2022-01-21,2,1720
2022-01-26,1,1721
2022-01-28,5,1726
2022-02-04,12,1738
2022-02-07,8,1746
2022-02-11,2,1748
2022-02-18,2,1750
2022-02-24,1,1751
2022-02-25,1,1752
2022-03-04,3,1755
2022-03-10,1,1756
2022-03-11,1,1757
2022-03-23,2,1759
2022-04-01,4,1763
2022-04-08,7,1770
2022-04-20,1,1771
2022-05-06,11,1782
2022-05-12,2,1784
2022-05-20,17,1801
2022-06-02,4,1805
2022-06-03,2,1807
2022-06-08,5,1812
2022-06-10,5,1817
2022-06-16,2,1819
2022-06-23,5,1824
2022-06-30,4,1828
2022-07-07,3,1831
2022-07-17,2,1833
2022-08-05,5,1838
2022-08-18,2,1840
2022-08-25,4,1844
2022-09-07,1,1845
2022-09-14,1,1846
2022-09-15,6,1852
2022-09-30,2,1854
2022-10-05,4,1858
2022-10-07,1,1859
2022-10-12,4,1863
2022-10-21,13,1876
2022-10-31,3,1879
2022-11-08,7,1886
2022-11-21,2,1888
2022-11-28,4,1892
2022-12-08,2,1894
2022-12-12,5,1899
2022-12-14,23,1922
2022-12-21,6,1928
2022-12-22,1,1929
2023-01-04,1,1930
2023-01-11,11,1941
2023-01-12,1,1942
2023-01-18,6,1948
2023-02-03,1,1949
2023-02-09,2,1951
2023-02-14,2,1953
2023-02-24,18,1971
2023-03-03,20,1991
2023-03-08,1,1992
2023-03-09,19,2011
2023-03-17,22,2033
2023-03-22,2,2035
2023-04-05,3,2038
2023-04-11,2,2040
2023-04-18,5,2045
2023-04-26,4,2049
2023-05-05,6,2055
2023-05-08,2,2057
2023-05-19,40,2097
2023-05-21,31,2128
2023-05-22,49,2177
2023-05-23,29,2206
2023-05-25,17,2223
2023-06-06,15,2238
2023-06-09,13,2251
2023-06-10,19,2270
2023-06-14,6,2276
2023-06-22,5,2281
2023-06-28,5,2286
2023-06-30,23,2309
2023-07-08,1,2310
2023-07-17,5,2315
2023-07-20,5,2320
2023-07-25,1,2321
2023-08-02,45,2366
2023-08-22,18,2384
2023-09-05,12,2396
2023-09-08,35,2431
2023-09-11,12,2443
2023-09-14,37,2480
2023-09-18,16,2496
2023-09-19,7,2503
2023-09-26,2,2505
2023-10-04,5,2510
2023-10-06,14,2524
2023-10-15,8,2532
2023-10-23,8,2540
2023-10-26,5,2545
2023-10-29,1,2546
2023-10-31,12,2558
2023-11-09,10,2568
2023-11-18,6,2574
2023-11-27,4,2578
2023-12-08,5,2583
2023-12-11,4,2587
2023-12-19,6,2593
2023-12-21,5,2598
2024-01-18,14,2612
2024-01-22,4,2616
2024-02-02,29,2645
2024-02-09,12,2657
2024-02-14,16,2673
2024-02-22,19,2692
2024-02-27,7,2699
2024-03-08,5,2704
2024-03-14,2,2706
2024-03-20,8,2714
2024-03-27,1,2715
2024-04-05,10,2725
2024-04-19,12,2737
2024-04-26,4,2741
2024-05-02,5,2746
2024-05-11,7,2753
2024-05-16,3,2756
2024-05-23,1,2757
2024-05-24,5,2762
2024-06-03,4,2766
2024-06-07,4,2770
2024-06-09,1,2771
2024-06-13,15,2786
2024-06-21,4,2790
2024-06-27,3,2793
2024-06-28,4,2797
2024-07-02,6,2803
2024-07-10,4,2807
2024-07-18,4,2811
2024-07-24,5,2816
2024-07-25,1,2817
2024-08-15,10,2827
2024-08-29,11,2838
2024-09-12,1,2839
2024-09-13,5,2844
2024-09-19,5,2849
2024-10-01,7,2856
2024-10-11,12,2868
2024-10-14,2,2870
2024-10-21,9,2879
2024-10-25,2,2881
2024-10-31,2,2883
2024-11-11,6,2889
2024-11-15,3,2892
2024-11-21,2,2894
2024-11-25,3,2897
2024-12-13,13,2910
2024-12-18,2,2912
2024-12-20,5,2917
2025-01-09,3,2920
2025-01-16,8,2928
2025-01-22,2,2930
2025-01-30,3,2933
2025-02-10,5,2938
2025-02-25,10,2948
2025-02-28,2,2950
2025-03-14,10,2960
2025-03-20,2,2962
2025-03-28,8,2970
2025-04-04,5,2975
2025-04-11,5,2980
2025-04-18,6,2986
2025-04-25,3,2989
2025-05-01,1,2990
2025-05-09,4,2994
2025-05-15,5,2999
2025-05-17,1,3000
2025-05-23,5,3005
2025-05-29,2,3007
2025-06-05,5,3012
2025-06-06,3,3015
2025-06-12,8,3023
2025-06-20,8,3031
2025-06-26,11,3042
2025-07-02,14,3056
2025-07-03,1,3057
2025-07-10,11,3068
2025-07-11,3,3071
2025-07-16,7,3078
2025-07-17,2,3080
2025-07-24,2,3082
2025-07-31,3,3085
2025-08-07,9,3094
2025-08-13,3,3097
2025-08-15,1,3098
2025-08-28,5,3103
2025-08-29,1,3104
2025-09-04,8,3112
2025-09-12,6,3118
2025-09-19,7,3125
2025-10-01,7,3132
2025-10-10,1,3133
2025-10-13,5,3138
2025-10-15,1,3139
2025-10-24,12,3151
2025-10-29,3,3154
2025-10-31,2,3156
2025-11-06,3,3159
2025-11-07,3,3162
2025-11-14,3,3165
2025-11-20,1,3166
2025-11-26,1,3167
2025-12-05,3,3170
2025-12-12,3,3173
2025-12-18,3,3176
2026-01-06,3,3179
2026-01-07,13,3192
2026-01-08,1,3193
2026-01-15,7,3200
2026-01-28,6,3206
2026-01-30,8,3214
2026-02-06,2,3216
2026-02-14,4,3220
2026-02-19,1,3221
2026-02-21,5,3226
2026-02-27,4,3230
2026-03-06,3,3233
2026-03-13,9,3242
2026-03-20,11,3253
2026-03-27,3,3256
2026-04-03,11,3267
2026-04-06,2,3269
2026-04-10,3,3272
2026-04-16,3,3275
2026-04-23,8,3283
unknown,23,3306
